# freq	per	pow	amp
 4.2967378824565021E-002	 2.3273469952239367E+001	 2.9685678067398041E-001	 1.3156835309809746E-002
 4.4289452019167022E-002	 2.2578739505903862E+001	 2.3336610930456567E-001	 1.1480545269888457E-002
 4.5611525213769023E-002	 2.1924283288341432E+001	 2.9252278059758990E-001	 1.2868270983596719E-002
 4.6933598408371024E-002	 2.1306697843599419E+001	 2.9207020549458251E-001	 1.3100458034160659E-002
 4.8255671602973026E-002	 2.0722952697199435E+001	 2.5271070964661019E-001	 1.2323765925156714E-002
 4.9577744797575027E-002	 2.0170340625274115E+001	 3.8697986614383367E-001	 1.5546456612056411E-002
 5.0899817992177028E-002	 1.9646435673968295E+001	 4.8770068640289821E-001	 1.7101564749006749E-002
 5.2221891186779029E-002	 1.9149057555639981E+001	 2.9025822491252923E-001	 1.2831461662163184E-002
 5.3543964381381030E-002	 1.8676241319698256E+001	 3.1580407795206850E-002	 4.3749981667048736E-003
 5.4866037575983032E-002	 1.8226211408380223E+001	 3.1509425027378990E-001	 1.3597216995923971E-002
 5.6188110770585033E-002	 1.7797359375241864E+001	 9.7381123707703521E-001	 2.4026389005516399E-002
 5.7510183965187034E-002	 1.7388224676960444E+001	 7.7862861629362812E-001	 2.1287043478808127E-002
 5.8832257159789035E-002	 1.6997478055006276E+001	 1.5294639882316086E-001	 9.4755840336519619E-003
 6.0154330354391036E-002	 1.6623907108742401E+001	 4.2418217834623123E-001	 1.5687327001009985E-002
 6.1476403548993037E-002	 1.6266403730059771E+001	 8.5944926067927363E-001	 2.2678470612646898E-002
 6.2798476743595039E-002	 1.5923953125216405E+001	 8.5115747228447403E-001	 2.2562306424609477E-002
 6.4120549938197033E-002	 1.5595624194799575E+001	 1.8952480929099464E+000	 3.3164513403687639E-002
 6.5442623132799027E-002	 1.5280561079753120E+001	 3.6765162594878911E+000	 4.6760525653201906E-002
 6.6764696327401021E-002	 1.4977975711837217E+001	 3.7938903225748928E+000	 4.7218951915902425E-002
 6.8086769522003016E-002	 1.4687141231995719E+001	 2.5767416608419507E+000	 3.9037354127514495E-002
 6.9408842716605010E-002	 1.4407386160910088E+001	 1.4019461878920911E+000	 2.9167302258791085E-002
 7.0730915911207004E-002	 1.4138089223322986E+001	 6.0701885521919097E-001	 1.9430360624823301E-002
 7.2052989105808998E-002	 1.3878674742161097E+001	 1.8855642321065250E-001	 1.0580021751490238E-002
 7.3375062300410993E-002	 1.3628608530590627E+001	 1.2396347815297377E-001	 8.5115245777395501E-003
 7.4697135495012987E-002	 1.3387394220314688E+001	 2.2550532670513998E-001	 1.1628264015634776E-002
 7.6019208689614981E-002	 1.3154569973004868E+001	 3.2667038379750823E-001	 1.3838272126031682E-002
 7.7341281884216975E-002	 1.2929705529021881E+001	 2.5815399129590544E-001	 1.2278805647872329E-002
 7.8663355078818969E-002	 1.2712399553744202E+001	 2.0465422873956290E-001	 1.1151533019613363E-002
 7.9985428273420964E-002	 1.2502277247070746E+001	 5.8291166627051039E-001	 1.8471367781210543E-002
 8.1307501468022958E-002	 1.2298988186142767E+001	 1.0990572715987712E+000	 2.5147884816295034E-002
 8.2629574662624952E-002	 1.2102204375164483E+001	 9.2139491860047040E-001	 2.3346835032811639E-002
 8.3951647857226946E-002	 1.1911618479492603E+001	 2.1682075305474813E-001	 1.1415142210094676E-002
 8.5273721051828941E-002	 1.1726942223996593E+001	 2.6686468967214244E-001	 1.2472386145183988E-002
 8.6595794246430935E-002	 1.1547904938134051E+001	 8.5108616902786183E-001	 2.2036976004679618E-002
 8.7917867441032929E-002	 1.1374252232297449E+001	 7.1227808599552345E-001	 1.9908601620783440E-002
 8.9239940635634923E-002	 1.1205744791818969E+001	 1.9020887216867927E-001	 1.0400478640999095E-002
 9.0562013830236918E-002	 1.1042157276609933E+001	 7.1621430566002134E-002	 6.4181929122178183E-003
 9.1884087024838912E-002	 1.0883277315795402E+001	 4.9629702458823033E-002	 5.3372113884079904E-003
 9.3206160219440906E-002	 1.0728904587911780E+001	 3.5192291492028252E-002	 4.6114189899861390E-003
 9.4528233414042900E-002	 1.0578849978290638E+001	 3.7702743549533735E-001	 1.5102886136241852E-002
 9.5850306608644895E-002	 1.0432934806176284E+001	 4.8748244075827585E-001	 1.6653705986302513E-002
 9.7172379803246889E-002	 1.0290990114935791E+001	 1.0444126925718093E-001	 7.6740375378468702E-003
 9.8494452997848883E-002	 1.0152856019433298E+001	 1.6312338363350687E-001	 9.7927931503046517E-003
 9.9816526192450877E-002	 1.0018381105268618E+001	 1.4158574207808436E+000	 2.8886394242735283E-002
 1.0113859938705287E-001	 9.8874218751343879E+000	 3.0164514171642334E+000	 4.1406785942587537E-002
 1.0246067258165487E-001	 9.7598422380358798E+000	 4.0936495578280256E+000	 4.8236377028525637E-002
 1.0378274577625686E-001	 9.6355130375513465E+000	 4.5720065089857345E+000	 5.1191302034595286E-002
 1.0510481897085885E-001	 9.5143116156953553E+000	 4.6505160313173395E+000	 5.2038249673692479E-002
 1.0642689216546085E-001	 9.3961214092892025E+000	 3.8819153219839722E+000	 4.7410941143609289E-002
 1.0774896536006284E-001	 9.2808315760463902E+000	 2.3259505689945668E+000	 3.6652831443050975E-002
 1.0907103855466484E-001	 9.1683366478518895E+000	 7.7639581331674046E-001	 2.1210821664908088E-002
 1.1039311174926683E-001	 9.0585362089554593E+000	 1.5377684864376584E-001	 9.4537774002704696E-003
 1.1171518494386883E-001	 8.9513345970151583E+000	 6.0009514792704444E-001	 1.8937969485920195E-002
 1.1303725813847082E-001	 8.8466406251202443E+000	 1.4171710052983428E+000	 2.8767584189102371E-002
 1.1435933133307281E-001	 8.7443673230957337E+000	 1.9457348407983537E+000	 3.4354026083970521E-002
 1.1568140452767481E-001	 8.6444316965460679E+000	 1.7947206676202370E+000	 3.3610692183832516E-002
 1.1700347772227680E-001	 8.5467545022348137E+000	 1.2272836552210042E+000	 2.7343176519634631E-002
 1.1832555091687880E-001	 8.4512600385226939E+000	 9.6061646507246023E-001	 2.3494914243341769E-002
 1.1964762411148079E-001	 8.3578759496992383E+000	 1.2084352242755176E+000	 2.5910427262985841E-002
 1.2096969730608279E-001	 8.2665330431451487E+000	 1.7336919103278421E+000	 3.0966691458278336E-002
 1.2229177050068478E-001	 8.1771651183543899E+000	 1.8794835473675675E+000	 3.2600317138040381E-002
 1.2361384369528677E-001	 8.0897088069281402E+000	 1.1771337944630811E+000	 2.6060170258640807E-002
