2460470.8736	4.0			Vis.	AAX		37	40	ATLAS		No		G				ETA AQL		STD					
2460471.465	3.5			Vis.	MQA		3.7		AAVSO		No		G				ETA AQL		STD					
2460471.8583	3.6			Vis.	AAX		33	37	ATLAS		No		G				ETA AQL		STD					
2460472.465	3.5			Vis.	MQA		3.7		AAVSO		No		G				ETA AQL		STD					
2460472.6806	3.8			Vis.	BGZ		37	40	X22749BYO		No		G				ETA AQL		STD					
2460472.8396	3.6			Vis.	AAX		33	37	ATLAS		No		G				ETA AQL		STD					
2460473.44444	3.9			Vis.	MPTA	B	37	44	10 star tutorial	B 10x50mm	No		G				Eta Aql		STD					
2460473.8688	3.9			Vis.	AAX	Z	37	40	ATLAS		No		G				ETA AQL		STD					
2460475.8333	4.1			Vis.	AAX		40	44	ATLAS		No		G				ETA AQL		STD					
2460477.4944	3.92			Vis.	DPV		3.71	4.02	OSE2001		No		G				ETA AQL		STD					
2460478.77153	3.6			Vis.	DCMA		3 4	3.7	10 stars tutorial		No		G				ETA AQL		STD					
2460480.8354	3.8			Vis.	AAX		37	40	ATLAS		No		G				ETA AQL		STD					
2460485.6618	3.7			Vis.	BGZ		34	37	X22749BYO		No		G				ETA AQL		STD					
2460486.479	3.5			Vis.	MQA	B	3.7		AAVSO		No		G				ETA AQL		STD					
2460488.4097	4.0			Vis.	CME	U	37	44	12611AYJ	BIN. 7x50 - WIND (BREEZE)	No		G				ETA AQL		STD					
2460488.6535	4.0			Vis.	BGZ		37	0	X22749BYO		No		G				ETA AQL		STD					
2460489.3799	4.1			Vis.	CME	U	37	44	12611AYJ	BIN. 7x50 - BREEZE, VEILS	No		G				ETA AQL		STD					
2460491.40486	4.1			Vis.	MPTA	U	37	43	10 star tutorial	B 10x50mm	No		G				Eta Aql		STD					
2460491.486	4.0			Vis.	MQA	BU	3.7		AAVSO		No		G				ETA AQL		STD					
2460491.6688	4.0			Vis.	BGZ		37	44	X22749BYO		No		G				ETA AQL		STD					
2460492.4257	3.6			Vis.	CME		34	37	12611AYJ	BIN. 7x50	No		G				ETA AQL		STD					
2460492.479	3.5			Vis.	MQA	BU	3.7		AAVSO		No		G				ETA AQL		STD					
2460492.6556	3.8			Vis.	BGZ		37	44	X22749BYO		No		G				ETA AQL		STD					
2460493.4056	3.9			Vis.	CME		37	44	12611AYJ	BIN. 7x50	No		G				ETA AQL		STD					
