# freq	per	pow	amp
 1.0134999999999986E-001	 9.8667982239763337E+000	 3.2341728373905472E+000	 4.2823527140787063E-002
 1.0139999999999985E-001	 9.8619329388560306E+000	 3.2833182761334210E+000	 4.3139223556571939E-002
 1.0144999999999985E-001	 9.8570724494825193E+000	 3.3315314380440042E+000	 4.3447729400568291E-002
 1.0149999999999984E-001	 9.8522167487684875E+000	 3.3787984180919435E+000	 4.3749137220849943E-002
 1.0154999999999983E-001	 9.8473658296405873E+000	 3.4251064952501595E+000	 4.4043530416109651E-002
 1.0159999999999983E-001	 9.8425196850393863E+000	 3.4704441242570581E+000	 4.4330983432392564E-002
 1.0164999999999982E-001	 9.8376783079193473E+000	 3.5148009362913819E+000	 4.4611562107149554E-002
 1.0169999999999982E-001	 9.8328416912487882E+000	 3.5581677551984097E+000	 4.4885324198408891E-002
 1.0174999999999981E-001	 9.8280098280098454E+000	 3.6005366161878603E+000	 4.5152320021528837E-002
 1.0179999999999981E-001	 9.8231827111984469E+000	 3.6419007978916680E+000	 4.5412593267140006E-002
 1.0184999999999980E-001	 9.8183603338242698E+000	 3.6822548624200957E+000	 4.5666181962069806E-002
 1.0189999999999980E-001	 9.8135426889107169E+000	 3.7215947037862076E+000	 4.5913119578379971E-002
 1.0194999999999979E-001	 9.8087297694948710E+000	 3.7599175953505246E+000	 4.6153436227583576E-002
 1.0199999999999979E-001	 9.8039215686274712E+000	 3.7972222551088968E+000	 4.6387160049987920E-002
 1.0204999999999978E-001	 9.7991180793728780E+000	 3.8335088988316457E+000	 4.6614318608386586E-002
 1.0209999999999977E-001	 9.7943192948090321E+000	 3.8687793067187979E+000	 4.6834940433980218E-002
 1.0214999999999977E-001	 9.7895252080274329E+000	 3.9030368814852845E+000	 4.7049056577476912E-002
 1.0219999999999976E-001	 9.7847358121330945E+000	 3.9362867043878165E+000	 4.7256702192676775E-002
 1.0224999999999976E-001	 9.7799511002445225E+000	 3.9685355886811760E+000	 4.7457918133904285E-002
 1.0229999999999975E-001	 9.7751710654936694E+000	 3.9997921204112235E+000	 4.7652752490617747E-002
 1.0234999999999975E-001	 9.7703957010259153E+000	 4.0300666934077567E+000	 4.7841262083252040E-002
 1.0239999999999974E-001	 9.7656250000000249E+000	 4.0593715271639015E+000	 4.8023513831169103E-002
 1.0244999999999974E-001	 9.7608589555881178E+000	 4.0877206716829004E+000	 4.8199586005463958E-002
 1.0249999999999973E-001	 9.7560975609756362E+000	 4.1151299976689115E+000	 4.8369569326666563E-002
 1.0254999999999972E-001	 9.7513408093613130E+000	 4.1416171609948123E+000	 4.8533567834874988E-002
 1.0259999999999972E-001	 9.7465886939571416E+000	 4.1672015530994946E+000	 4.8691699576555829E-002
 1.0264999999999971E-001	 9.7418412079883367E+000	 4.1919042256667325E+000	 4.8844097019619864E-002
 1.0269999999999971E-001	 9.7370983446933099E+000	 4.2157477920848887E+000	 4.8990907207117552E-002
 1.0274999999999970E-001	 9.7323600973236299E+000	 4.2387563096867504E+000	 4.9132291645595315E-002
 1.0279999999999970E-001	 9.7276264591439983E+000	 4.2609551291423289E+000	 4.9268425850294839E-002
 1.0284999999999969E-001	 9.7228974234322116E+000	 4.2823707292425572E+000	 4.9399498635956128E-002
 1.0289999999999969E-001	 9.7181729834791355E+000	 4.3030305245278004E+000	 4.9525711079534247E-002
 1.0294999999999968E-001	 9.7134531325886648E+000	 4.3229626514723680E+000	 4.9647275187192294E-002
 1.0299999999999968E-001	 9.7087378640777011E+000	 4.3421957354137364E+000	 4.9764412274793862E-002
 1.0304999999999967E-001	 9.7040271712761115E+000	 4.3607586374287051E+000	 4.9877351068146905E-002
 1.0309999999999966E-001	 9.6993210475267055E+000	 4.3786801876849468E+000	 4.9986325564563498E-002
 1.0314999999999966E-001	 9.6946194861852000E+000	 4.3959889075555605E+000	 5.0091572681833021E-002
 1.0319999999999965E-001	 9.6899224806201882E+000	 4.4127127159192243E+000	 5.0193329687337029E-002
 1.0324999999999965E-001	 9.6852300242131086E+000	 4.4288786385110779E+000	 5.0291831526376556E-002
 1.0329999999999964E-001	 9.6805421103582141E+000	 4.4445125040631792E+000	 5.0387307982730521E-002
 1.0334999999999964E-001	 9.6758587324625402E+000	 4.4596386534555759E+000	 5.0479980843408281E-002
 1.0339999999999963E-001	 9.6711798839458751E+000	 4.4742796416560253E+000	 5.0570060969365824E-002
 1.0344999999999963E-001	 9.6665055582407309E+000	 4.4884559604853633E+000	 5.0657745469231928E-002
 1.0349999999999962E-001	 9.6618357487923063E+000	 4.5021857658402729E+000	 5.0743214897589983E-002
 1.0354999999999961E-001	 9.6571704490584622E+000	 4.5154846245289910E+000	 5.0826630591687141E-002
 1.0359999999999961E-001	 9.6525096525096892E+000	 4.5283652830760808E+000	 5.0908132190219516E-002
 1.0364999999999960E-001	 9.6478533526290775E+000	 4.5408374542905872E+000	 5.0987835323448354E-002
